Sentence,Length
private your  account statement for shows  unredeemed s i m points call  identifier code  expires ,98
you have won  cash or a  prize to claim call tc rstm sw ss ppm,62
 and  are premium phone services call ,38
sms ac sun posts helloyou seem cool,35
get ur st ringtone free now reply to this msg with tone gr top  tones to your phone every week just еј per wk  opt out send stop  ,130
hi im sue i am  years old and work as a lapdancer i love sex text me live  im i my bedroom now text sue to  by textoperator g da ppmsg ,135
forwarded from please call  immediately as there is an urgent message waiting for you,85
to review and keep the fantastic nokia ngage game deck with club nokia go  wwwcnupdatescomnewsletter unsubscribe from alerts reply with the word out,148
mths half price orange line rental  latest camera phones  free had your phone mths call mobilesdirect free on  to update now orstoptxt tcs,138
 between ampm cost p,20
 urgent this is the nd attempt to contact uu have won еј call  b  tcsbcmwcnxx callcost ppm mobilesvary maxеј ,109
you have won a guaranteed еј cash or a еј prize to claim yr prize call our customer service representative on  between ampm,123
email alertfrom jeri stewartsize kbsubject lowcost prescripiton drvgsto listen to email call ,93
hi customer loyalty offerthe new nokia mobile from only еј at txtauction txt word start to no   get yours now tctxt tc pmtmsg,125
u are subscribed to the best mobile content service in the uk for еј per  days until you send stop to  helpline ,112
do you realize that in about  years well have thousands of old ladies running around with tattoos,97
you have an important customer service announcement from premier,64
romantic paris  nights  flights from еј book now  next year call tscs apply,75
urgent ur еј guaranteed award is still unclaimed call  now closingdate claimcode mm ејpmmorefrommobilebremovedmobypoboxlsyf,123
ur awarded a city break and could win a еј summer shopping spree every wk txt store to   skilgme tscswinawkage ејperwksub,121
you have an important customer service announcement from premier call freephone    now,86
ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community psms,121
 free top polyphonic tones call  national rate get a toppoly tune sent every week just text subpoly to  еј per pole unsub ,122
orange customer you may now claim your free camera phone upgrade for your loyalty call now on    offer ends thmarch tcs apply optout availa,139
last chance claim ur еј worth of discount vouchers today text shop to  now savamob offers mobile t cs savamob pobox muz еј sub ,127
free for st week no nokia tone  ur mobile every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq  normptone,136
you have won a guaranteed еј award or even еј cashto claim ur award call free on    stop getstop on  php rg jx,110
congratulations ur awarded either еј of cd gift vouchers  free entry  our еј weekly draw txt music to  tncs wwwldewcomwinppmxage,128
u were outbid by simonwatson on the shinco dvd plyr  bid again visit sms acsmsrewards  end bid notifications reply end out,122
smsservices for yourinclusive text credits pls goto wwwcomuknet login qxj unsubscribe with stop no extra charge help comuk cm ae,128
p  alfie moons children in need song on ur mob tell ur ms txt tone charity to  for nokias or poly charity for polys zed  profit  charity,136
u have a secret admirer reveal who thinks u r so special call  to opt out reply reveal stop  per msg recd cust care ,116
dear voucher holder to claim this weeks offer at you pc please go to httpwwwetlpcoukexpressoffer tscs apply to stop texts txt stop to ,134
do you want  anytime any network mins  text and a new video phone for only five pounds per week call  or reply for delivery tomorrow,132
we tried to contact you re our offer of new video phone  anytime any network mins half price rental camcorder call  or reply for delivery wed,141
last chance  claim ur еј worth of discount voucherstext yes to  nowsavamobmember offers mobile t cs  еј sub   remove txt x or stop,130
urgent call  from your landline your complimentary  ibiza holiday or  cash await collection sae tcs po box  sk wp  ppm  ,120
todays offer claim ur еј worth of discount vouchers text yes to  now savamob member offers mobile t cs  еј sub   unsub reply x,126
talk sexy make new friends or fall in love in the worlds most discreet text dating service just text vip to  and see who you could meet,135
congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call  tscs wwwsmsconet ејpm approx mins,142
private your  account statement for  xxxxxx shows  unredeemed s i m points call  identifier code  expires ,106
hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r,130
what do u want for xmas how about  free text messages  a new video phone with half price line rental call free now on   to find out more,136
shop till u drop is it you either k k еј cash or еј travel voucher call now  ntt po box crbt fixedline cost ppm mobile vary,123
sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to  еј sptyrone,124
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,117
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on stopsms,124
reminder you have not downloaded the content you have already paid for goto httpdoit mymoby tv to collect your content,118
your free ringtone is waiting to be collected simply text the password mix to  to verify get usher and britney fml,114
all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to ,151
january male sale hot gay chat now cheaper call  national rate from pmin cheap to pmin peak to stop texts call  pmin,116
money you r a lucky winner   claim your prize text money   over ејmillion to give away  pptxnormal text rate box wtjy,117
dear matthew please call  from a landline your complimentary lux tenerife holiday or еј cash await collection ppm sae tcs box skxh,130
urgent call  from landline your complimentary  tenerife holiday or еј cash await collection sae tcs box  hp yf ppm ,115
how about getting in touch with folks waiting for company just txt back your name and age to opt in enjoy the community psms,124
ur cashbalance is currently  pounds  to maximize ur cashin now send go to  only pmsg cc  po box  tcrw,101
filthy stories and girls waiting for your,41
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim m validhrs only,134
congrats  mobile g videophones r yours call  now videochat wid your mates play java games dload polyph music noline rentl,121
please call our customer service representative on freephone    between ampm as you have won a guaranteed еј cash or еј prize,125
panasonic  bluetoothhdset free nokia free motorola free  doublemins  doubletxt on orange contract call mobileupd on  or call optout,131
free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq normptone ,133
guess what somebody you know secretly fancies you wanna find out who it is give us a call on  from landline dateboxessexcmxn pmin ,130
we know someone who you know that fancies you call  to find out who pobox  lshb p,81
s flirting now txt girl or bloke  ur name  age eg girl zoe  to  to join and get chatting,88
 days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to ,121
eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to  now  chance  win еј cash wkentp,131
we have new local dates in your area  lots of new people registered in your area reply date to start now  only wwwflirtpartyus replys,133
someone u know has asked our dating service  contact you cant guess who call  now all will be revealed po box m wu,114
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim c validhrs only,134
dear uve been invited to xchat this is our final attempt to contact u txt chat to ,82
you are awarded a sipix digital camera call  from landline delivery within days t cs box mbp yr warranty ppm   p pеј,116
win urgent your mobile number has been awarded with a еј prize guaranteed call  from land line claim  valid hrs only ppm ,121
dear subscriber ur draw  еј gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to ,131
message important information for o user today is your lucky day  find out why log onto httpwwwurawinnercom there is a fantastic surprise awaiting you,150
 you have won a еј price to claim call ,39
bored of speed dating try speedchat txt speedchat to  if you dont like em txt swap and get a new chatter chat poboxwwq pmsg rcd ,128
do you want  anytime any network mins  text and a new video phone for only five pounds per week call  now or reply for delivery tomorrow,136
for taking part in our mobile survey yesterday you can now have  texts  use however you wish  get txts just send txt to  tc wwwtxtcom p,135
ur hmv quiz cashbalance is currently еј  to maximize ur cashin now send hmv to  only pmsg,89
dont forget you can place as many free requests with stchoicecouk as you wish for more information call ,104
i dont know u and u dont know me send chat to  now and lets find each other only pmsg rcvd hgsuitelandsrowwjhl ldn  years or over,129
thank you winner notified by sms good luck no future marketing reply stop to  customer services ,96
s of girls many local  u who r virgins  this  r ready  fil ur every sexual need can u fil theirs text cute to ејp m,115
free entry in  a wkly comp to win fa cup final tkts st may  text fa to  to receive entry questionstd txt ratetcs apply overs,124
got what it takes  take part in the wrc rally in oz u can with lucozade energy text rally le to  p see packs or lucozadecoukwrc  itcould be u,141
sex up ur mobile with a free sexy pic of jordan just text babe to  then every wk get a sexy celeb pocketbabecouk  more pics  ејwk ,130
you have  new voicemail please call ,36
win a year supply of cds  a store of ur choice worth еј  enter our еј weekly draw txt music to  tscs wwwldewcomsubswinppmx,122
as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no  to claim pmsg exp apr,130
you have  new voicemail please call ,36
no  nokia tone  ur mob every week just txt nok to  st tone free  so get txtin now and tell ur friends ptone  reply hl info,122
you are a winner u have been specially selected  receive еј cash or a  holiday flights inc speak to a live operator  claim ,123
reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations wwwphbcom php,141
free entry into our еј weekly comp just send the word enter to  now  tc wwwtextcompcom cust care ,97
please call  immediately as there is an urgent message waiting for you,70
hungry gay guys feeling hungry and up  it now call  just pmin to stop texts call  pmin,86
can u get  phone now i wanna chat  set up meet call me now on  u can cum here moro luv jane xx callsејminmoremobsemspoboxpowa,125
network operator the service is free for t  cs visit biz,56
enjoy the jamster videosound gold club with your credits for  new videosounds logosmusicnews get more fun from jamstercouk only help call  ,139
get  lions england tone reply lionm  mono or lionp  poly  more go  wwwringtonescouk the original n best tones gbp network operator rates apply,142
win the newest ыпharry potter and the order of the phoenix book  reply harry answer  questions  chance to be the first among readers,132
ur balance is now еј ur next question is who sang uptown girl in the s   answer txt ur answer to  good luck,107
freeday sexy st georges day pic of jordantxt pic to  dont miss out then every wk a saucy celeb more pics c pocketbabecouk  ејwk,127
hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb k,75
bears pic nick and tom pete and  dick in fact all types try gay chat with photo upload call  pmin  stop texts call ,115
 new mobiles from  must go txt nokia to no   collect yours todayfrom only еј wwwtcbiz optout gbpmtmsg txtauction,112
double mins  double txt   price linerental on latest orange bluetooth mobiles call mobileupd for the very latest offers  or calloptoutlf,136
no  nokia tone  ur mob every week just txt nok to  st tone free  so get txtin now and tell ur friends ptone  reply hl info,122
urgent important information for o user today is your lucky day  find out why log onto httpwwwurawinnercom there is a fantastic surprise awaiting for you,153
dear uve been invited to xchat this is our final attempt to contact u txt chat to  pmsgrcvdhgsuitelandsrowwjhl ldn  yrs,119
congratulations ur awarded either еј of cd gift vouchers  free entry  our еј weekly draw txt music to  tncs wwwldewcom  winppmxage,130
for sale  arsenal dartboard good condition but no doubles or trebles,68
free st week entry  textpod  a chance  win gb ipod or еј cash every wk txt pod to  tscs wwwtextpodnet custcare ,111
as a registered optin subscriber ur draw  еј gift voucher will be entered on receipt of a correct ans to  whats no in the bbc charts,132
summers finally here fancy a chat or flirt with sexy singles in yr area to get matched up just reply summer now free  join optout txt stop help,143
claire here am havin borin time  am now alone u wanna cum over nite chat now  hope  c u luv claire xx callsејminmoremobsemspoboxpowa,132
bought one ringtone and now getting texts costing  pound offering more tones etc,80
 urgent your mobile no xxxxxxxxx won a еј bonus caller prize on  this is the nd attempt to reach you call  asap,111
you  are guaranteed the latests nokia phone a gb ipod mp player or a еј prize txt wordcollect to no tcllc nyusa pmt msgrcvd,123
hi its lucy hubby at meetins all day fri  i will b alone at hotel u fancy cumin over pls leave msg day  lucy x callsејminmobsmorelkpoboxhpfl,140
your account has been credited with  free text messages to activate just txt the word credit to no  tcs wwwbiz,110
sms ac jsco energy is high but u may not know where channel it day ur leadership skills r strong psychic reply ans wquestion end reply end jsco,143
hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb  is a national rate call,98
thanks for the vote now sing along with the stars with karaoke on your mobile for a free link just reply with sing now,118
our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists,154
urgent your mobile no was awarded a еј bonus caller prize on  this is our nd attempt to contact you call  boxqu bt national rate,128
you have won a nokia i this is what you get when you win our free auction to take part send nokia to  now hgsuitelands rowwjhl ,127
hello from orange for  months free access to games news and sport plus  free texts and  photo messages reply yes terms apply wwworangecoukow,140
ur cashbalance is currently  pounds  to maximize ur cashin now send go to  only pmsg cc  hgsuitelands rowwjhl,109
sms auction  a brand new nokia  is up  auction today auction is free  join  take part txt nokia to  now hgsuitelands rowwjhl,124
private your  account statement for shows  unredeemed s i m points call  identifier code  expires ,98
as a registered subscriber yr draw  a еј gift voucher will b entered on receipt of a correct ans when are the next olympics txt ans to ,135
urgent your mobile number has been awarded with a еј prize guaranteed call  from land line claim  valid hrs only ppm,116
rtking pro video club need help inforingtonekingcouk or call  you must be  club credits redeemable at wwwringtonekingcouk enjoy,127
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,117
 free text msgs just text ok to  and well credit your account,61
you have been selected to stay in  of  top british hotels  for nothing holiday worth еј to claim call london  bx  swss,118
eerie nokia tones u rply tone title to  eg tone dracula to  titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk poboxwwq p,133
anetworks allow companies to bill for sms so they are responsible for their suppliers,85
freemsgfeelin kinda lnly hope u like  keep me company jst got a cam moby wanna c my pictxt or reply date to  msgp rcv hlp  stop to ,131
for ur chance to win a еј cash every wk txt action to  tscs wwwmovietriviatv custcare  xpwk,91
rgent this is the nd attempt to contact uu have won еј call  b  tcsbcmwcnxx callcost ppm mobilesvary maxеј ,107
hi if ur lookin  saucy daytime fun wiv busty married woman am free all next week chat now  sort time  janinexx callsејminmobsmorelkpoboxhpfl,140
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim a valid hrs only,135
monthly password for wap mobsicom is  use your wap phone not pc,63
todays vodafone numbers ending with my last four digits are selected to received a еј award if your number matches please call  to claim your еј award,150
free top ringtone sub to weekly ringtoneget st week freesend subpoly to  per weekstop sms,89
sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to  еј sptyrone,113
free msg sorry a service you ordered from  could not be delivered as you do not have sufficient credit please top up to receive the service,139
hard live  chat just pmin choose your girl and connect live call  now cheap chat uks biggest live service vu bcmwcnxx,117
wow the boys r back take that  uk tour win vip tickets  prebook with vip club txt club to  trackmarque ltd infovipclubu,119
hi this is mandy sullivan calling from hotmix fmyou are chosen to receive еј in our easter prize drawplease telephone  to claim before  or your prize will be transferred to someone else,185
ur going  bahamas callfreefone  and speak to a live operator to claim either bahamas cruise ofеј cash only to opt out txt x to ,127
someone has conacted our dating service and entered your phone because they fancy youto find out who it is call from landline  poboxntf,135
hi  ibh customer loyalty offer the new nokia mobile from only еј at txtauctiontxt wordstart to no  get yours nowt,113
sms auction you have won a nokia i this is what you get when you win our free auction to take part send nokia to  now hgsuitelands rowwjhl ,139
call freephone    now,21
buy space invaders  a chance  win orig arcade game console press  for games arcade std wap charge see ocoukgames  terms  settings no purchase,141
loan for any purpose еј  еј homeowners  tenants welcome have you been previously refused we can still help call free   or text back help,136
big brother alert the computer has selected u for k cash or  voucher call  ntt po box cro  bt landline cost ppm mobiles vary,124
win we have a winner mr t foley won an ipod more exciting prizes soon so keep an eye on ur mobile or visit wwwwincouk,117
todays voda numbers ending  are selected to receive a ејaward if you have a match please call  quoting claim code  standard rates app ,134
hottest pics straight to your phone see me getting wet and wanting just for you xx text pics to  now txt costs p textoperator gga  xxx,134
hack chat get backdoor entry into  chat rooms at a fraction of the cost reply neo or call  to subscribe p pm dps bcm box  ldn wcnxx,131
free nokia or motorola with upto mths price linerental  free xnet minstxtmth free btooth call mobileupd on  or call optoutdwv,125
this is the nd time we have tried  contact u u have won the  pound prize  claim is easy call  now only p per min btnationalrate ,128
you have won a guaranteed еј cash or a еј prizeto claim yr prize call our customer service representative on,108
would you like to see my xxx pics they are so hot they were nearly banned in the uk,83
hmv bonus special  pounds of genuine hmv vouchers to be won just answer  easy questions play now send hmv to  more infowwwpercentrealcom,136
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,117
dear xxxxxxx uve been invited to xchat this is our final attempt to contact u txt chat to  pmsgrcvdhgsuitelandsrowwjhl ldn yrs ,127
urgent please call  from landline your abta complimentary  tenerife holiday or еј cash await collection sae tcs box  cwwx ppm,125
call   listen to extreme dirty live chat going on in the office right now total privacy no one knows your sic listening p min mp ,129
freemsg hey u i just got  of these videopic fones reply wild to this txt  ill send u my pics hurry up im so bored at work xxx  prcvd stopstop,141
free entry in  a weekly comp for a chance to win an ipod txt pod to  to get entry std txt rate tcs apply  for details ,118
new textbuddy chat  horny guys in ur area  just p free  receive search postcode or at gaytextbuddycom txt one name to   rpl stop  cnl,133
call from   tells u  call  to claim еј prize u have  enter all ur mobile  personal details  the prompts careful,111
free st week entry  textpod  a chance  win gb ipod or еј cash every wk txt vpod to  tscs wwwtextpodnet custcare ,112
more people are dogging in your area now call  and join like minded guys why not arrange  yourself theres  this evening aеј minapn lsbb,135
well done your  costa del sol holiday or еј await collection call  now toclaim sae tcs pobox stockport skxh costејpm maxmins,124
guess what somebody you know secretly fancies you wanna find out who it is give us a call on  from landline dateboxessexcmxn pmin ,130
it to  your  free text messages are valid until  december ,58
you have won a guaranteed еј award or even еј cashto claim ur award call free on    stop getstop on  php,104
reply to win еј weekly where will the  fifa world cup be held send stop to  to end service,90
urgent please call  from landline your abta complimentary  tenerife holiday or  cash await collection sae tcs box  cwwx  ppm,124
free tones hope you enjoyed your new content text stop to  to unsubscribe helpp provided by tonesyoucouk,104
themobyo yo yohere comes a new selection of hot downloads for our members to get for free just click  open the next link sent to ur fone,136
great news call freefone  to claim your guaranteed еј cash or еј gift speak to a live operator now,98
u can win еј of music gift vouchers every week starting now txt the word draw to  tscs wwwldewcom skillgamewinaweek ageppermesssubscription,139
mths half price orange line rental  latest camera phones  free had your phone mths  call mobilesdirect free on  to update now orstoptxt,135
call  to use ur mins calls cast pmin mob vary service provided by aom just gbpmonth aom boxm er until u stop ages  only,119
urgent your mobile no  won a еј bonus caller prize on  this is the nd attempt to reach you call  asap boxnqp ppm,112
eerie nokia tones u rply tone title to  eg tone dracula to  titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk poboxwwq p ,134
sexy singles are waiting for you text your age followed by your gender as wither m or f egf for gay men text your age followed by a g egg,137
freemsg claim ur  sms messagestext ok to  nowuse webmobile  ur mates etc join txtcom for pwk tc box lawu   remove txtx or stop,126
 freeringtonereply real,23
well done england get the official poly ringtone or colour flag on yer mobile text tone or flag to  now optout txt eng stop box wwx еј,134
final chance claim ur еј worth of discount vouchers today text yes to  now savamob member offers mobile t cs savamob pobox muz еј subs ,135
private your  account statement for  shows  unredeemed bonus points to claim call  identifier code  expires,107
sms services for your inclusive text credits pls goto wwwcomuknet login  unsubscribe with stop no extra charge help po box ip we,128
freeday sexy st georges day pic of jordantxt pic to  dont miss out then every wk a saucy celeb more pics c pocketbabecouk  ејwk,127
you are a winner you have been specially selected to receive еј cash or a еј award speak to a live operator to claim call ampm cost p,133
sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box  bray wicklow eire quiz starts saturday unsub stop,151
u can win еј of music gift vouchers every week starting now txt the word draw to  tscs wwwidewcom skillgame winaweek age ppermesssubscription,141
 congratulations  in this weeks competition draw u have won the еј prize to claim just call  b tcsstop sms  over  only ppm,122
your bu voucher wc  is marsms log onto wwwbutelecom for discount credit to opt out reply stop customer care call ,113
freemsg hey  im buffy  and love to satisfy men home alone feeling randy reply  c my pix qlynnbv helpp a msg send stop to stop txts,130
sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box  bray wicklow eire quiz starts saturday unsub stop,151
free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates zed pobox  wwq normptone ,123
shop till u drop is it you either k k еј cash or еј travel voucher call now  ntt po box crbt fixedline cost ppm mobile vary,123
free camera phones with linerental from month with  cross ntwk mins  price txt bundle deals also avble call  or calloptoutj mf,126
urgent your mobile no xxxxxxxxx won a еј bonus caller prize on  this is the nd attempt to reach you call  asap boxnqp ppm,121
